"","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"188","1382921215114440","oBike Taiwan","老闆，我今天外出取材！
因為一蘭拉麵昨天開幕了，oBike的粉絲說他們想看心得文。
所以我就騎車出去了喔！！！！！！！
　
#oBikeTW #共享單車 #粉絲說的邊編都要做
#其實是你自己想吃吧 #謎之聲
#騎單車靠邊編 #排隊美食","2017-06-16T02:50:44+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1521103931296167/?type=3","1382921215114440_1521103931296167",NA,19,0,0
"189","1382921215114440","oBike Taiwan","邊編要來推薦去哪騎自行車啦������
首推單車路線就是新竹的十七公里海岸線啦～～

除了欣賞海景和紅樹林生態
還有拍起美美噠的許願鐘樓和彩虹大橋唷！！

＃相約彩虹橋 ＃下雨天了怎麼辦好想騎車車
#oBikeTW #共享單車
#騎單車靠邊編 #MyCityMyWay","2017-06-15T07:30:27+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1519980604741833/?type=3","1382921215114440_1519980604741833",NA,66,15,2
"190","1382921215114440","oBike Taiwan","今天一早趁著暫時沒有雨的時刻
一路暢通騎到公司
就在進公司前
　
　
　
　
　
我被公車碾過的積水噴的一身........
　
#圖文不符 #總不能放我的濕身照吧
#oBikeTW #共享單車
#騎單車靠邊編 #梅雨季不管怎樣都會濕
#MyCityMyWay","2017-06-14T03:33:07+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1518497701556790/?type=3","1382921215114440_1518497701556790",NA,83,20,0
"191","1382921215114440","oBike Taiwan","第二波梅雨鋒面來了！
大家要嚴防豪大雨，外出騎車請小心！
　
#oBikeTW #共享單車 #梅雨季 #發霉
#騎單車靠邊編","2017-06-13T06:21:49+0000","link","https://udn.com/news/story/7266/2519341","1382921215114440_1517442054995688",NA,12,2,0
"192","1382921215114440","oBike Taiwan","騎車不喝酒
喝酒不騎車
　
有件事邊編一定要告訴你
「自行車酒駕會罰600RRRRRRRR」
且害人又害己
　
#oBikeTW #共享單車 #酒後不騎車 #酒駕
#騎單車靠邊編","2017-06-13T02:29:21+0000","link","https://media.giphy.com/media/8nbZYKDo7QLE4/giphy.gif","1382921215114440_1517278041678756",NA,11,0,1
"193","1382921215114440","oBike Taiwan","別oBike、UBike傻傻分不清唷！
這裡只能停放UBike的車車～～～～
　
#做個有禮貌有公德心的騎士 #要停在合法的公共停車格唷
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-12T05:54:25+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1516270515112842/?type=3","1382921215114440_1516270515112842",NA,110,21,1
"194","1382921215114440","oBike Taiwan","#oBike溫馨小提醒
　
違規停車可是會扣oBike信用積分20分的唷！
oBike停放在私人住宅、地下室、社區庭院、其他非路邊白線或者非公共合法停車格，都是不可以的唷！
oBike停放在私人住宅、地下室、社區庭院、其他非路邊白線或者非公共合法停車格，都是不可以的唷！
oBike停放在私人住宅、地下室、社區庭院、其他非路邊白線或者非公共合法停車格，都是不可以的唷！　
　
#太重要說三次 #邊編的話要聽唷
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-12T02:52:32+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1516124005127493/?type=3","1382921215114440_1516124005127493",NA,64,25,3
"195","1382921215114440","oBike Taiwan","最近收到很多騎士粉跟邊編分享的騎車狀況
　
#希望路可以再平整一些 #路平
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-09T09:40:40+0000","link","https://media.giphy.com/media/3o7bubLLCGyMS2kRXy/giphy.gif","1382921215114440_1512613765478517",NA,11,12,0
"196","1382921215114440","oBike Taiwan","#免費倒數
　
雙北地區免費騎乘體驗倒數兩天，只到6/10為止唷！
超多人都在騎oBike了！你還在等什麼！
快點加入oBike騎行者行列吧！
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-09T04:50:24+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1512720242134536/?type=3","1382921215114440_1512720242134536",NA,75,36,4
"197","1382921215114440","oBike Taiwan","#oBike小教室
　
無論是借車解鎖或者是還車上鎖
大家都要記得開啟手機上的藍牙功能唷
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-09T02:26:37+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1512582638814963/?type=3","1382921215114440_1512582638814963",NA,50,4,2
"198","1382921215114440","oBike Taiwan","#第一次學會腳踏車
大家還記得第一次學會腳踏車的時期嗎？
邊編大概在國小一年級的時候學會的。
你們呢？
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-08T04:59:02+0000","link","https://media.giphy.com/media/UsOoz5EYqRxXW/giphy.gif","1382921215114440_1511460808927146",NA,16,4,0
"199","1382921215114440","oBike Taiwan","#oBike小教室
你知道嗎～～～
截至目前為止，各位oBike騎士的總減碳量
大約是大安森林公園每一季CO2的吸收量喔！
　
#oBikeTW #共享單車
#騎單車靠邊編 #節能減碳","2017-06-08T03:22:35+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1511389138934313/?type=3","1382921215114440_1511389138934313",NA,27,2,1
"200","1382921215114440","oBike Taiwan","#車就是要停在合法的公共停車格
　
若車沒停在正確的位置，經用戶舉報後，將會扣信用積分20分唷！
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-07T05:00:00+0000","link","https://media.giphy.com/media/d1vaWA1lsbIdy/giphy.gif","1382921215114440_1509902275749666",NA,35,12,0
"201","1382921215114440","oBike Taiwan","連下好幾天的雨，今天終於陽光探頭。
邊編就跟著同事騎車上班惹～
一早騎車悠遊在自行車道上真的好舒服
　
#oBikeTW #共享單車
#騎單車靠邊編","2017-06-07T02:23:52+0000","photo","https://www.facebook.com/oBikeTW/photos/a.1425276647545563.1073741828.1382921215114440/1509888169084410/?type=3","1382921215114440_1509888169084410",NA,33,7,0
